"Type","Model","True_Mig","True_Sel","Mean_Inferred_D","MAE_D","Mean_Inferred_s","MAE_s"
"Neutro","TRON_ARES",0,1e-04,0,0,0,1e-04
"Neutro","TRON_ARES",0,5e-04,0,0,0,5e-04
"Neutro","TRON_ARES",0,0.001,0,0,0,0.001
"Neutro","TRON_ARES",0,0.005,0,0,0,0.005
"Neutro","TRON_ARES",0,0.01,0,0,0,0.01
"Neutro","TRON_ARES",0,0.05,0,0,0,0.05
"Neutro","TRON_ARES",0,0.1,0,0,0,0.1
"Neutro","TRON_ARES",0.01,1e-04,0.01,0,0,1e-04
"Neutro","TRON_ARES",0.01,5e-04,0.01,0,0,5e-04
"Neutro","TRON_ARES",0.01,0.001,0.01,0,0,0.001
"Neutro","TRON_ARES",0.01,0.005,0.01,0,0,0.005
"Neutro","TRON_ARES",0.01,0.01,0.01,0,0,0.01
"Neutro","TRON_ARES",0.01,0.05,0.01,0,0,0.05
"Neutro","TRON_ARES",0.01,0.1,0.01,0,0,0.1
"Neutro","TRON_ARES",0.05,1e-04,0.05,0,0,1e-04
"Neutro","TRON_ARES",0.05,5e-04,0.05,0,0,5e-04
"Neutro","TRON_ARES",0.05,0.001,0.05,0,0,0.001
"Neutro","TRON_ARES",0.05,0.005,0.05,0,0,0.005
"Neutro","TRON_ARES",0.05,0.01,0.05,0,0,0.01
"Neutro","TRON_ARES",0.05,0.05,0.05,0,0,0.05
"Neutro","TRON_ARES",0.05,0.1,0.05,0,0,0.1
"Neutro","TRON_ARES",0.1,1e-04,0.1,0,0,1e-04
"Neutro","TRON_ARES",0.1,5e-04,0.1,0,0,5e-04
"Neutro","TRON_ARES",0.1,0.001,0.1,0,0,0.001
"Neutro","TRON_ARES",0.1,0.005,0.1,0,0,0.005
"Neutro","TRON_ARES",0.1,0.01,0.1,0,0,0.01
"Neutro","TRON_ARES",0.1,0.05,0.1,0,0,0.05
"Neutro","TRON_ARES",0.1,0.1,0.1,0,0,0.1
"Neutro","TRON_LEGACY",0,1e-04,0,0,0,1e-04
"Neutro","TRON_LEGACY",0,5e-04,0,0,0,5e-04
"Neutro","TRON_LEGACY",0,0.001,0,0,0,0.001
"Neutro","TRON_LEGACY",0,0.005,0,0,0,0.005
"Neutro","TRON_LEGACY",0,0.01,0,0,0,0.01
"Neutro","TRON_LEGACY",0,0.05,0,0,0,0.05
"Neutro","TRON_LEGACY",0,0.1,0,0,0,0.1
"Neutro","TRON_LEGACY",0.01,1e-04,0.01,0,0,1e-04
"Neutro","TRON_LEGACY",0.01,5e-04,0.005,0.005,0,5e-04
"Neutro","TRON_LEGACY",0.01,0.001,0.01,0,0,0.001
"Neutro","TRON_LEGACY",0.01,0.005,0.01,0,0,0.005
"Neutro","TRON_LEGACY",0.01,0.01,0.01,0,0,0.01
"Neutro","TRON_LEGACY",0.01,0.05,0.01,0,0,0.05
"Neutro","TRON_LEGACY",0.01,0.1,0.005,0.005,0,0.1
"Neutro","TRON_LEGACY",0.05,1e-04,0.05,0,0,1e-04
"Neutro","TRON_LEGACY",0.05,5e-04,0.05,0,0,5e-04
"Neutro","TRON_LEGACY",0.05,0.001,0.05,0,0,0.001
"Neutro","TRON_LEGACY",0.05,0.005,0.05,0,0,0.005
"Neutro","TRON_LEGACY",0.05,0.01,0.05,0,0,0.01
"Neutro","TRON_LEGACY",0.05,0.05,0.05,0,0,0.05
